Digit,Code,よみ
4,0122,みかさ
4,0123,ねむろ
4,0124,ちとせ
4,0125,たきかわ
4,0126,すながわ
4,0127,うたしない
4,0128,ふかがわ
4,0129,ふらの
4,0130,のぼりべつ
4,0131,えにわ
4,0132,かめだ
4,0133,だて
4,0134,きたひろしま
4,0135,いしかり
4,0136,ほくと
4,0201,あおもり
4,0202,ひろさき
4,0203,はちのへ
4,0204,くろいし
4,0205,ごしょがわら
4,0206,とわだ
4,0207,みさわ
4,0208,むつ
4,0209,つがる
4,0210,ひらかわ
4,0301,もりおか
4,0302,かまいし
4,0303,みやこ
4,0304,いちのせき
4,0305,おふなと
4,0306,みずさわ
4,0307,はなまき
4,0308,きたかみ
4,0309,くじ
4,0310,との
4,0311,りくぜんたかた
4,0312,えさし
4,0313,にのへ
4,0314,はちまんたい
4,0315,おしゅ
4,0316,たきざわ
4,0401,あきた
4,0402,のしろ
4,0403,おだて
4,0404,よこて
4,0405,ほんじょ
4,0406,おが
4,0407,ゆざわ
4,0408,おまがり
4,0409,かずの
4,0410,ゆりほんじょ
4,0411,かたがみ
4,0412,だいせん
4,0413,きたあきた
4,0414,にかほ
4,0415,せんぼく
4,0501,やまがた
4,0502,よねざわ
4,0503,つるおか
4,0504,さかた
4,0505,しんじょ
4,0506,さがえ
4,0507,かみのやま
4,0508,むらやま
4,0509,ながい
4,0510,てんど
4,0511,ひがしね
4,0512,おばなざわ
4,0513,なん'よ
4,0601,せんだい
4,0602,いしのまき
4,0603,しおがま
4,0604,ふるかわ
4,0605,けせんうま
4,0606,しろいし
4,0607,なとり
4,0608,かくだ
4,0609,たがじょ
4,0610,いずみ
4,0611,いわぬま
4,0612,とめ
4,0613,くりはら
4,0614,ひがしまつしま
4,0615,おさき
4,0616,とみや
4,0701,ふくしま
4,0702,あいずわかまつ
4,0703,こりやま
4,0704,たいら
4,0705,しらかわ
4,0706,はらまち
4,0707,すかがわ
4,0708,きたかた
4,0709,じょばん
4,0710,いわき
4,0711,そま
4,0712,うちご
4,0713,なこそ
4,0714,にほんまつ
4,0715,いわき
4,0716,わかまつ
4,0717,たむら
4,0718,みなみそま
4,0719,だて
4,0720,もとみや
4,0801,にいがた
4,0802,ながおか
4,0803,たかだ
4,0804,さんじょ
4,0805,かしわざき
4,0806,しばた
4,0807,にいつ
4,0808,おじや
4,0809,かも
4,0810,とかまち
4,0811,みつけ
4,0812,むらかみ
4,0813,つばめ
4,0814,なおえつ
4,0815,とちお
4,0816,いといがわ
4,0817,あらい
4,0818,ごせん
4,0819,りょつ
4,0820,しろね
4,0821,とよさか
4,0822,じょえつ
4,0823,あがの
4,0824,さど
4,0825,うおぬま
4,0826,みなみうおぬま
4,0827,みょこ
4,0828,たいない
4,0901,ながの
4,0902,まつもと
4,0903,うえだ
4,0904,おかや
4,0905,いいだ
4,0906,すわ
4,0907,すざか
4,0908,こもろ
4,0909,いな
4,0910,こまがね
4,0911,なかの
4,0912,おまち
4,0913,いいやま
4,0914,ちの
4,0915,しおじり
4,0916,しののい
4,0917,こしょく
4,0918,さく
4,0919,ちくま
4,0920,とうみ
4,0921,あずみの
6,100101,ちよだ
6,100102,ちゅうおう
6,100103,みなと
6,100104,しんじゅく
6,100105,ぶんきょ
6,100106,たいと
6,100107,すみだ
6,100108,こと
6,100109,しながわ
6,100110,めぐろ
6,100111,おた
6,100112,せたがや
6,100113,しぶや
6,100114,なかの
6,100115,すぎなみ
6,100116,としま
6,100117,きた
6,100118,あらかわ
6,100119,いたばし
6,100120,ねりま
6,100121,あだち
6,100122,かつしか
6,100123,えどがわ
4,1001,とうきょうにじゅうさんく
4,1002,はちおじ
4,1003,たちかわ
4,1004,むさしの
4,1005,みたか
4,1006,おめ
4,1007,ふちゅ
4,1008,あきしま
4,1009,ちょふ
4,1010,まちだ
4,1011,こがねい
4,1012,こだいら
4,1013,ひの
4,1014,ひがしむらやま
4,1015,こくぶんじ
4,1016,くにたち
4,1017,ほや
4,1018,たなし
4,1019,ふっさ
4,1020,こまえ
4,1021,ひがしやまと
4,1022,きよせ
4,1023,ひがしくるめ
4,1024,むさしむらやま
4,1025,たま
4,1026,いなぎ
4,1027,あきがわ
4,1028,はむら
4,1029,あきるの
4,1030,にしときょ
4,1101,よこはま
4,1102,よこすか
4,1103,かわさき
4,1104,ひらつか
4,1105,かまくら
4,1106,ふじさわ
4,1107,おだわら
4,1108,ちがさき
4,1109,ずし
4,1110,さがみはら
4,1111,みうら
4,1112,はだの
4,1113,あつぎ
4,1114,やまと
4,1115,いせはら
4,1116,えびな
4,1117,ざま
4,1118,みなみあしがら
4,1119,あやせ
4,1201,ちば
4,1202,ちょし
4,1203,いちかわ
4,1204,ふなばし
4,1205,たてやま
4,1206,きさらず
4,1207,まつど
4,1208,のだ
4,1209,さわら
4,1210,もばら
4,1211,なりた
4,1212,さくら
4,1213,とがね
4,1214,よかいちば
4,1215,あさひ
4,1216,ならしの
4,1217,かしわ
4,1218,かつうら
4,1219,いちはら
4,1220,ながれやま
4,1221,やちよ
4,1222,あびこ
4,1223,かもがわ
4,1224,きみつ
4,1225,かまがや
4,1226,ふっつ
4,1227,うらやす
4,1228,よつかいど
4,1229,そでがうら
4,1230,やちまた
4,1231,いんざい
4,1232,しろい
4,1233,とみさと
4,1234,みなみぼそ
4,1235,そさ
4,1236,かとり
4,1237,さんむ
4,1238,いすみ
4,1239,おあみしらさと
4,1301,うらわ
4,1302,かわごえ
4,1303,くまがや
4,1304,かわぐち
4,1305,おみや
4,1306,ぎょだ
4,1307,ちちぶ
4,1308,ところざわ
4,1309,はんのう
4,1310,かぞ
4,1311,ほんじょう
4,1312,ひがしまつやま
4,1313,いわつき
4,1314,かすかべ
4,1315,さやま
4,1316,はにゅ
4,1317,このす
4,1318,ふかや
4,1319,あげお
4,1320,よの
4,1321,そか
4,1322,こしがや
4,1323,わらび
4,1324,とだ
4,1325,いるま
4,1326,はとがや
4,1327,あさか
4,1328,しき
4,1329,わこ
4,1330,にいざ
4,1331,おけがわ
4,1332,くき
4,1333,きたもと
4,1334,やしお
4,1335,かみふくおか
4,1336,ふじみ
4,1337,みさと
4,1338,はすだ
4,1339,さかど
4,1340,さって
4,1341,つるがしま
4,1342,ひだか
4,1343,よしかわ
4,1344,さいたま
4,1345,ふじみの
4,1346,しらおか
4,1401,みと
4,1402,ひたち
4,1403,つちうら
4,1404,こが
4,1405,いしおか
4,1406,しもだて
4,1407,ゆき
4,1408,りゅがさき
4,1409,なかみなと
4,1410,しもつま
4,1411,みつかいど
4,1412,ひたちおた
4,1413,かつた
4,1414,たかはぎ
4,1415,きたいばらき
4,1416,かさま
4,1417,とりで
4,1418,いわい
4,1419,うしく
4,1420,つくば
4,1421,ひたちなか
4,1422,かしま
4,1423,いたこ
4,1424,もりや
4,1425,ひたちおみや
4,1426,なか
4,1427,ちくせい
4,1428,ばんどう
4,1429,いなしき
4,1430,かすみがうら
4,1431,さくらがわ
4,1432,かみす
4,1433,なめがた
4,1434,ほこた
4,1435,じょそ
4,1436,つくばみらい
4,1437,おみたま
4,1501,うつのみや
4,1502,あしかが
4,1503,とちぎ
4,1504,さの
4,1505,かぬま
4,1506,にっこ
4,1507,いまいち
4,1508,おやま
4,1509,もおか
4,1510,おたわら
4,1511,やいた
4,1512,くろいそ
4,1513,なすしおばら
4,1514,さくら
4,1515,なすからすやま
4,1516,しもつけ
4,1601,まえばし
4,1602,たかさき
4,1603,きりゅ
4,1604,いせさき
4,1605,おた
4,1606,ぬまた
4,1607,たてばやし
4,1608,しぶかわ
4,1609,ふじおか
4,1610,とみおか
4,1611,あんあか
4,1612,みどり
4,1701,こふ
4,1702,ふじよしだ
4,1703,えんざん
4,1704,つる
4,1705,やまなし
4,1706,おつき
4,1707,にらさき
4,1708,みなみあるぷす
4,1709,ほくと
4,1710,かい
4,1711,ふえふき
4,1712,うえのはら
4,1713,こしゅ
4,1714,ちゅうおう
4,1801,しずおか
4,1802,はままつ
4,1803,ぬまず
4,1804,しみず
4,1805,あたみ
4,1806,みしま
4,1807,ふじのみや
4,1808,いと
4,1809,しまだ
4,1810,よしわら
4,1811,いわた
4,1812,やいず
4,1813,ふじ
4,1814,かけがわ
4,1815,ふじえだ
4,1816,ごてmば
4,1817,ふくろい
4,1818,てんりゅ
4,1819,はまきた
4,1820,しもだ
4,1821,すその
4,1822,こさい
4,1823,いず
4,1824,おまえざき
4,1825,きくがわ
4,1826,いずのくに
4,1827,まきのはら
4,1901,ぎふ
4,1902,おがき
4,1903,たかやま
4,1904,たじみ
4,1905,せき
4,1906,なかつがわ
4,1907,みの
4,1908,みずなみ
4,1909,はしま
4,1910,えな
4,1911,みのかも
4,1912,とき
4,1913,かかみがはら
4,1914,かに
4,1915,やまがた
4,1916,みずほ
4,1917,ひだ
4,1918,もとす
4,1919,ぐじょ
4,1920,げろ
4,1921,かいず
4,2001,なごや
4,2002,とよはし
4,2003,おかざき
4,2004,いちのみや
4,2005,せと
4,2006,はんだ
4,2007,かすがい
4,2008,とよかわ
4,2009,つしま
4,2010,へきなん
4,2011,かりや
4,2012,とよた
4,2013,あんじょ
4,2014,にしお
4,2015,がまごり
4,2016,いぬやま
4,2017,とこなめ
4,2018,もりやま
4,2019,こなん
4,2020,びさい
4,2021,こまき
4,2022,いなざわ
4,2023,しんしろ
4,2024,とかい
4,2025,おぶ
4,2026,ちた
4,2027,たかはま
4,2028,ちりゅ
4,2029,おわりあさひ
4,2030,いわくら
4,2031,とよあけ
4,2032,にっしん
4,2033,たはら
4,2034,あいさい
4,2035,きよす
4,2036,きたなごや
4,2037,やとみ
4,2038,みよし
4,2039,あま
4,2040,ながくて
4,2101,つ
4,2102,よっかいち
4,2103,いせ
4,2104,まつさか
4,2105,くわな
4,2106,うえの
4,2107,すずか
4,2108,なばり
4,2109,おわせ
4,2110,かめやま
4,2111,とば
4,2112,くまの
4,2113,ひさい
4,2114,うじやまだ
4,2115,いなべ
4,2116,しま
4,2117,いが
4,2201,きょと
4,2202,ふくちやま
4,2203,まいずる
4,2204,あやべ
4,2205,うじ
4,2206,みやず
4,2207,かめおか
4,2208,じょうよう
4,2209,ながおかきょ
4,2210,むこ
4,2211,やわた
4,2212,きょたなべ
4,2213,きょたんご
4,2214,なんたん
4,2215,きずがわ
4,2301,おつ
4,2302,ひこね
4,2303,ながはま
4,2304,おみはちまん
4,2305,よかいち
4,2306,くさつ
4,2307,もりやま
4,2308,りっと
4,2309,こか
4,2310,やす
4,2311,こなん
4,2312,たかしま
4,2313,ひがしおうみ
4,2314,まいばら
4,2401,なら
4,2402,やまとたかだ
4,2403,やまとこりやま
4,2404,てんり
4,2405,かしはら
4,2406,さくらい
4,2407,ごじょ
4,2408,ごせ
4,2409,いこま
4,2410,かしば
4,2411,かつらぎ
4,2412,うだ
4,2501,おさか
4,2502,さかい
4,2503,きしわだ
4,2504,とよなか
4,2505,ふせ
4,2506,いけだ
4,2507,すいた
4,2508,いずみおつ
4,2509,たかつき
4,2510,かいずか
4,2511,もりぐち
4,2512,ひらかた
4,2513,いばらき
4,2514,やお
4,2515,いずみさの
4,2516,とんだばやし
4,2517,ねやがわ
4,2518,かわちながの
4,2519,ひらおか
4,2520,かわち
4,2521,まつばら
4,2522,だいと
4,2523,いずみ
4,2524,みの
4,2525,かしわら
4,2526,はびきの
4,2527,かどま
4,2528,せっつ
4,2529,ふじいでら
4,2530,たかいし
4,2531,ひがしおさか
4,2532,せんあん
4,2533,しじょなわて
4,2534,かたの
4,2535,おさかさやま
4,2536,はんあん
4,2601,わかやま
4,2602,しんぐ
4,2603,かいなん
4,2604,たなべ
4,2605,ごぼ
4,2606,はしもと
4,2607,ありだ
4,2608,きのかわ
4,2609,いわで
4,2701,こべ
4,2702,ひめじ
4,2703,あまがさき
4,2704,あかし
4,2705,にしのみや
4,2706,すもと
4,2707,あしや
4,2708,いたみ
4,2709,あいおい
4,2710,とよおか
4,2711,かこがわ
4,2712,たつの
4,2713,あこ
4,2714,にしわき
4,2715,たからずか
4,2716,みき
4,2717,たかさご
4,2718,かわにし
4,2719,おの
4,2720,さんだ
4,2721,かさい
4,2722,ささやま
4,2723,やぶ
4,2724,たんば
4,2725,みなみあわじ
4,2726,あさご
4,2727,あわじ
4,2728,しそ
4,2729,かと
4,2730,たつの
4,2731,たんばささやま
4,2801,とやま
4,2802,たかおか
4,2803,しんみなと
4,2804,うおず
4,2805,ひみ
4,2806,なめりかわ
4,2807,くろべ
4,2808,となみ
4,2809,おやべ
4,2810,なんと
4,2811,いみず
4,2901,ふくい
4,2902,つるが
4,2903,たけふ
4,2904,おばま
4,2905,おの
4,2906,かつやま
4,2907,さばえ
4,2908,あわら
4,2909,えちぜん
4,2910,さかい
4,3001,かなざわ
4,3002,ななお
4,3003,こまつ
4,3004,わじま
4,3005,すず
4,3006,かが
4,3007,はくい
4,3008,まつと
4,3009,かほく
4,3010,はくさん
4,3011,のみ
4,3012,ののいち
4,3101,おかやま
4,3102,くらしき
4,3103,つやま
4,3104,たまの
4,3105,こじま
4,3106,たましま
4,3107,かさおか
4,3108,さいだいじ
4,3109,いばら
4,3110,そじゃ
4,3111,たかはし
4,3112,にいみ
4,3113,びぜん
4,3114,せとうち
4,3115,あかいわ
4,3116,まにわ
4,3117,みまさか
4,3118,あさくち
4,3201,まつえ
4,3202,はまだ
4,3203,いずも
4,3204,ますだ
4,3205,おだ
4,3206,やすぎ
4,3207,ごつ
4,3208,ひらた
4,3209,うんあん
4,3301,やまぐち
4,3302,しものせき
4,3303,うべ
4,3304,はぎ
4,3305,とくやま
4,3306,ほふ
4,3307,くだまつ
4,3308,いわくに
4,3309,おのだ
4,3310,ひかり
4,3311,ながと
4,3312,やない
4,3313,みね
4,3314,しんあん'よ
4,3315,しゅなん
4,3316,さん'よおのだ
4,3401,とっとり
4,3402,くらよし
4,3403,よなご
4,3404,さかいみなと
4,3501,ひろしま
4,3502,くれ
4,3503,たけはら
4,3504,みはら
4,3505,おのみち
4,3506,いんおしま
4,3507,まつなが
4,3508,ふくやま
4,3509,ふちゅ
4,3510,みよし
4,3511,しょうばら
4,3512,おたけ
4,3513,ひがしひろしま
4,3514,はつかいち
4,3515,あきたかた
4,3516,えたじま
4,3601,たかまつ
4,3602,まるがめ
4,3603,さかいで
4,3604,ぜんつじ
4,3605,かん'おんじ
4,3606,さぬき
4,3607,ひがしかがわ
4,3608,みとよ
4,3701,とくしま
4,3702,なると
4,3703,こまつしま
4,3704,あなん
4,3705,よしのがわ
4,3706,あわ
4,3707,みま
4,3708,みよし
4,3801,まつやま
4,3802,いまばり
4,3803,うわじま
4,3804,やわたはま
4,3805,にいはま
4,3806,さいじょ
4,3807,おず
4,3808,いよみしま
4,3809,かわのえ
4,3810,いよ
4,3811,ほじょ
4,3812,とよ
4,3813,しこくちゅうおう
4,3814,せいよ
4,3815,とおん
4,3901,こち
4,3902,むろと
4,3903,あき
4,3904,とさ
4,3905,すさき
4,3906,なかむら
4,3907,すくも
4,3908,とさしみず
4,3909,なんこく
4,3910,しまんと
4,3911,こなん
4,3912,かみ
4,4001,ふくおか
4,4002,こくら
4,4003,もじ
4,4004,やはた
4,4005,とばた
4,4006,わかまつ
4,4007,くるめ
4,4008,おむた
4,4009,のおがた
4,4010,いいずか
4,4011,たがわ
4,4012,やながわ
4,4013,あまぎ
4,4014,やまだ
4,4015,やめ
4,4016,ちくご
4,4017,おかわ
4,4018,ゆくはし
4,4019,ぶぜん
4,4020,なかま
4,4021,きたきゅしゅ
4,4022,おごおり
4,4023,かすが
4,4024,ちくしの
4,4025,おのじょ
4,4026,むなかた
4,4027,だざいふ
4,4028,まえばる
4,4029,こが
4,4030,ふくつ
4,4031,うきは
4,4032,みやわか
4,4033,かま
4,4034,あさくら
4,4035,みやま
4,4036,いとしま
4,4037,なかがわ
4,4101,さが
4,4102,からつ
4,4103,とす
4,4104,たく
4,4105,いまり
4,4106,たけお
4,4107,かしま
4,4108,おぎ
4,4109,うれしの
4,4110,かんざき
4,4201,ながさき
4,4202,させぼ
4,4203,しまばら
4,4204,いさはや
4,4205,おむら
4,4206,ふくえ
4,4207,ひらど
4,4208,まつうら
4,4209,つしま
4,4210,いき
4,4211,ごと
4,4212,さいかい
4,4213,うんぜん
4,4214,みなみしまばら
4,4301,くまもと
4,4302,やつしろ
4,4303,ひとよし
4,4304,あらお
4,4305,みなまた
4,4306,たまな
4,4307,ほんど
4,4308,やまが
4,4309,うしぶか
4,4310,きくち
4,4311,うと
4,4312,かみあまくさ
4,4313,うき
4,4314,あそ
4,4315,あまくさ
4,4316,こし
4,4401,おいた
4,4402,べっぷ
4,4403,なかつ
4,4404,ひた
4,4405,さいき
4,4406,うすき
4,4407,つくみ
4,4408,たけた
4,4409,つるさき
4,4410,ぶんごたかだ
4,4411,きつき
4,4412,うさ
4,4413,ぶんごおの
4,4414,ゆふ
4,4415,くにさき
4,4501,みやざき
4,4502,みやこのじょ
4,4503,のべおか
4,4504,にちなん
4,4505,こばやし
4,4506,ひゅが
4,4507,くしま
4,4508,さいと
4,4509,えびの
4,4601,かごしま
4,4602,せんだい
4,4603,かのや
4,4604,まくらざき
4,4605,くしきの
4,4606,あくね
4,4607,いずみ
4,4608,なぜ
4,4609,おくち
4,4610,いぶすき
4,4611,かせだ
4,4612,こくぶ
4,4613,たにやま
4,4614,にしのおもて
4,4615,たるみず
4,4616,さつませんだい
4,4617,ひおき
4,4618,そお
4,4619,きりしま
4,4620,いちきくしきの
4,4621,みなみさつま
4,4622,しぶし
4,4623,あまみ
4,4624,みなみきゅしゅ
4,4625,いさ
4,4626,あいら
4,4701,なは
4,4702,いしかわ
4,4703,ひらら
4,4704,いしがき
4,4705,こざ
4,4706,ぎのわん
4,4707,ぐしかわ
4,4708,なご
4,4709,うらそえ
4,4710,いとまん
4,4711,おきなわ
4,4712,とみぐすく
4,4713,うるま
4,4714,みやこじま
4,4715,なんじょ
5,01001,あかん
5,01002,あしょろ
5,01003,あつけし
5,01004,あつた
5,01005,あばしり
5,,おぞらちょ
5,,びほろちょう
5,,つべつちょう
5,01006,あぶた(しりべし)
5,,きもべつちょ
5,,くtちゃんちょ
5,,きょごくちょ
5,,まっかりむら
5,,にせこちょ
5,,るすつむら
5,01007,あぶた(いぶり)
5,,とようらちょ
5,,とうやこちょ
5,01008,いしかり
5,01009,いそや
5,01010,いわない
5,01011,うす
5,01012,うたすつ
5,01013,うらかわ
5,01014,うりゅ(そらち)
5,,もせうしちょ
5,,ちっぷべつちょ
5,,うりゅちょ
5,,ほくりゅちょ
5,,ぬまたちょ
5,01015,えさし
5,01016,おくしり
5,01017,おしょろ
5,01018,かさい
5,01019,かと
5,01020,かばと
5,01021,かみいそ
5,01022,かみかわ(とかち)
5,,しみずちょ
5,,しんとくちょ
5,01023,かみかわ(かみかわ)
5,,あいべつちょ
5,,あさひちょ
5,,びえいちょ
5,,ひがしかぐらちょ
5,,ひがしかわちょ
5,,ぴっぷちょ
5,,かみかわちょ
5,,けんぶちちょ
5,,しもかわちょ
5,,たかすちょ
5,,とまちょ
5,,わっさむちょ
5,01024,かめだ
5,01025,かやべ
5,01026,かわかみ
5,01027,くしろ
5,01028,くど
5,01029,さっぽろ
5,01030,さまに
5,01031,さる
5,01032,しずない
5,01033,しべつ
5,01034,しままき
5,01035,しゃこたん
5,01036,しゃり
5,01037,しらおい
5,01038,しらぬか
5,01039,すっつ
5,01040,せたな
5,01041,そや
5,01042,そらち(そらち)
5,,かみすながわちょ
5,,ないえちょ
5,,なんぽろちょ
5,01043,そらち(かみかわ)
5,,かみふらのちょ
5,,みなみふらのちょ
5,,なかふらのちょ
5,01044,ちとせ
5,01045,てしお(るもい)
5,,えんべつちょ
5,,てしおちょ
5,01046,てしお(そや)
5,,とよとみちょ
5,,ほろのべちょ
5,01047,とかち
5,01048,ところ
5,01049,とままえ
5,01050,なかがわ(かみかわ)
5,,びふかちょ
5,,なかがわちょ
5,,おといねつぷむら
5,01051,なかがわ(とかち)
5,,ほんべつちょ
5,,いけだちょ
5,,まくべつちょ
5,,とよころちょ
5,01052,にいかっぷ
5,01053,にし
5,01054,ねむろ
5,01055,のつけ
5,01056,はなさき
5,01057,はまます
5,01058,びくに
5,01059,ひやま
5,01060,ひろお
5,01061,ふとろ
5,01062,ふるう
5,01063,ふるびら
5,01064,ほろいずみ
5,01065,ほろべつ
5,01066,ましけ
5,01067,まつまえ
5,01068,みついし
5,01069,めなし
5,01070,もmべつ
5,01071,やまこし
5,01072,ゆばり
5,01073,ゆふつ(いぶり)
5,,あつまちょ
5,,あびらちょ
5,,むかわちょ
5,01074,ゆふつ(かみかわ)
5,,しむかっぷむら
5,01075,よいち
5,01076,りしり
5,01077,るもい
5,01078,れぶん
5,01079,ふたみ
5,01080,ひだか
5,01081,うりゅ(かみかわ)
5,　　　, ほろかないちょ    
5,02001,かみきた
5,02002,きたつがる
5,02003,さんおへ
5,02004,しもきた
5,02005,なかつがる
5,02006,にしつがる
5,02007,ひがしつがる
5,02008,みなみつがる
5,03001,いさわ
5,03002,いわて
5,03003,えさし
5,03004,かみへい
5,03005,くのへ
5,03006,けせん
5,03007,しもへい
5,03008,しわ
5,03009,にしいわい
5,03010,にのへ
5,03011,ひえぬき
5,03012,ひがしいわい
5,03013,わが
5,04001,おがち
5,04002,かずの
5,04003,かわべ
5,04004,きたあきた
5,04005,せmぼく
5,04006,ひらか
5,04007,みなみあきた
5,04008,やまもと
5,04009,ゆり
5,05001,あくみ
5,05002,きたむらやま
5,05003,にしおきたま
5,05004,にしたがわ
5,05005,にしむらやま
5,05006,ひがしおきたま
5,05007,ひがしたがわ
5,05008,ひがしむらやま
5,05009,みなみおきたま
5,05010,みなみむらやま
5,05011,もがみ
5,06001,いぐ
5,06002,おしか
5,06003,かった
5,06004,かみ
5,06005,くりはら
5,06006,くろかわ
5,06007,しだ
5,06008,しばた
5,06009,たまつくり
5,06010,とだ
5,06011,とめ
5,06012,なとり
5,06013,みやぎ
5,06014,もとよし
5,06015,ものう
5,06016,わたり
5,07001,あさか
5,07002,あだち
5,07003,いしかわ
5,07004,いしき
5,07005,いわせ
5,07006,おぬま
5,07007,かわぬま
5,07008,きたあいず
5,07009,しのぶ
5,07010,そま
5,07011,だて
5,07012,たむら
5,07013,にししらかわ
5,07014,ひがししらかわ
5,07015,ふたば
5,07016,みなみあいず
5,07017,やま
5,08001,いわふね
5,08002,かりわ
5,08003,きたうおぬま
5,08004,きたかmばら
5,08005,こし
5,08006,さど
5,08007,さんと
5,08008,なかうおぬま
5,08009,なかかmばら
5,08010,なかくびき
5,08011,にしかmばら
5,08012,にしくびき
5,08013,ひがしかmばら
5,08014,ひがしくびき
5,08015,みなみうおぬま
5,08016,みなみかmばら
5,09001,かみいな
5,09002,かみたかい
5,09003,かみみのち
5,09004,きそ
5,09005,きたあずみ
5,09006,きたさく
5,09007,さらしな
5,09008,しもいな
5,09009,しもたかい
5,09010,しもみのち
5,09011,すわ
5,09012,ちいさがた
5,09013,(れせrう゛ぇd)
5,09014,はにしな
5,09015,ひがしちくま
5,09016,みなみあずみ
5,09017,みなみさく
5,10001,きたたま
5,10002,にしたま
5,10003,みなみたま
5,10004,おしまーしちょ
5,, おしままち
5,, としまむら
5,, にいじまむら
5,, こずしまむら
5,10005,みやけーしちょ
5,, みやけむら
5,, みくらじまむら
5,10006,はちじょーしちょ
5,, はちじょまち
5,,  とりしま
5,, あおがしまむら
5,10007,おがさわらーしちょ
5,, おがさわらむら
5,, ちちじま
5,, ははじま
5,, いをじま
5,, おきのとりしま
5,, みなみとりしま
5,11001,あいこ
5,11002,あしがらかみ
5,11003,あしがらしも
5,11004,こざ
5,11005,つくい
5,11006,なか
5,11007,みうら
5,12001,あわ
5,12002,いすみ
